Name,Latitude,Longitude,Address1,Address2,Address3,Town,Region,PostalCode,CountryCode,Stage,Type,NumberOfAccessPoints,Accessibility,Protection,GovroamEnabled
Raynel Drive Care Home,53.85007,-1.60386,9 Raynel Drive care home,Ireland Wood,,Leeds,West Yorkshire,LS16 6BS,GB,,,,,,
Reginald Terrace,53.81767,-1.5317,263 Chapeltown Rd,,,Leeds,West Yorkshire,LS7 3EX,GB,,,,,,
Royds Court SH,53.74796,-1.47646,Royds Court,Rothwell,,Leeds,West Yorkshire,LS26 0TQ,GB,,,,,,
Rycroft Green,53.80449,-1.6429,Rycroft Green,,,Leeds,West Yorkshire,LS13 4PD,GB,,,,,,
Richmond Hill Children's Centre,53.79393251,-1.522975509,Walter Cresent,,,Leeds,West Yorkshire,LS9 8NG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
The Rose Lund Centre,53.75713451,-1.466701222,Sixth Avenue,Rothwell,,Leeds,West Yorkshire,LS26 0HD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Rothwell Children's Centre,53.75376496,-1.485078734,Cornwall Crescent,Rothwell,,Leeds,West Yorkshire,LS26 0RA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Rothwell Leisure Centre,53.74449011,-1.451913357,Wakefield Road,Oulton,,Leeds,West Yorkshire,LS26 8EL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Rothwell Community Hub,53.74715084,-1.479090426,Marsh street,Rothwell,,Leeds,West Yorkshire,LS26 0AD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Scholes Library,53.82521075,-1.429484963,3 Station Road,Scholes,,Leeds,West Yorkshire,LS15 4BJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Scott Hall Leisure Centre,53.82597709,-1.545846946,Scott Hall Road,Chapeltown,,Leeds,West Yorkshire,LS7 3DT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
South Seacroft One Stop Centre,53.81060046,-1.471477032,91-95 Moresdale Lane,Seacroft,,Leeds,West Yorkshire,LS14 6GG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Seacroft Children's Centre,53.81506915,-1.47135949,144 South Parkway,Seacroft,,Leeds,West Yorkshire,LS14 6EP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Shire View,53.8190253,-1.572975778,72 Headingley Lane,Headingley,,Leeds,West Yorkshire,LS6 2DJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
South Pudsey Community Centre,53.78962725,-1.652824998,Kent Road,Pudsey,,Leeds,West Yorkshire,LS28 9BN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Spen Croft,53.83140673,-1.603846939,Spen Lane,,,Leeds,West Yorkshire,LS16 5EJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
St Catherines Drive Childrens Home,53.8193,-1.62402,St Catherine's Drive,,,Leeds,West Yorkshire,LS13 2JY,GB,,,,,,
St James Hospital,53.80287564,-1.524367231,Beckett Street,,,Leeds,West Yorkshire,LS9 7LS,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Stocks Hill Hub,53.797,-1.5868,Chapel Lane,,,Leeds,West Yorkshire,LS12 2DJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Suffolk Court,53.86657676,-1.684693575,Yeadon,,,Leeds,West Yorkshire,LS19 7JN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Swarcliffe Community Centre,53.81981575,-1.443455049,65 Stanks Gardens,Swarcliffe,,Leeds,West Yorkshire,LS14 5LS,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Housing Leeds Swarcliffe,53.82291049,-1.442839026,32-38 Langbar Gardens,Swarcliffe,,Leeds,West Yorkshire,LS14 5ES,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Temple Newsham Golf club,53.79103106,-1.472663999,Templenewsham Road,Halton,,Leeds,West Yorkshire,LS15 0LN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
The Willows,53.83525,-1.64519,Fink Hill,Horsforth,,Leeds,West Yorkshire,LS18 5DY,GB,,,,,,
Two Willows ,53.76656,-1.571,Nursery Cardinal Square,,,Leeds,West Yorkshire,LS11 8HS,GB,,,,,,
Thwaite Mills,53.77623385,-1.504032016,Thwaite Lane,,,Leeds,West Yorkshire,LS10 1RP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Tropical World Roundhay Park,53.84051168,-1.505093336,Princes Avenue,Roundhay Park,,Leeds,West Yorkshire,LS8 2ER,GB,Active,SingleSpot,,No Restrictions,WPA2,1
West Yorkshire Joint Services,53.74779566,-1.625783801,Nepshaw Lane South,Morley,,Leeds,West Yorkshire,LS27 7JQ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
West Yorkshire History Centre,53.67973711,-1.491534595,127 Kirkgate,,,Wakefield,West Yorkshire,WF1 1JG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
"Westgate 4th, 5th and 6th Floors",53.79958123,-1.551024079,Westgate,,,Leeds,West Yorkshire,LS1 2NL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Wetherby One Stop Centre,53.92993563,-1.388537049,24 W Gate,Wetherby,,Leeds,West Yorkshire,LS22 6NL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Wetherby Childrens Centre,53.92882586,-1.380358019,Hallfield Lane,Wetherby,,Leeds,West Yorkshire,LS22 6JS,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Wetherby Health Centre,53.92835653,-1.381341285,42 Hallfield Lane,Wetherby,,Leeds,West Yorkshire,LS22 6JT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Wetherby Leisure Centre,53.92600385,-1.389490604,Lodge Lane,Wetherby,,Leeds,West Yorkshire,LS22 5FN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Wetherby Library and Tourist Information Centre,53.92867648,-1.387554691,17 W Gate,Wetherby,,Leeds,West Yorkshire,LS22 6LL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Whinmoor Library,53.83711794,-1.455219436,Naburn Approach,Whinmoor,,Leeds,West Yorkshire,LS14 2DF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Woodview DC,53.81874,-1.44641,Eastwood Drive,Swarcliffe,,Leeds,West Yorkshire,LS14 5HU,GB,,,,,,
Yeadon Extra Care,53.86663,-1.68619,"Haworth Court, Chapel Lane,",Yeadon,,Leeds,West Yorkshire,LS19 7NX,GB,,,,,,
Hyde Park Surgery,53.80678027,-1.567647114,Woodsley Road,,,Leeds,West Yorkshire,LS6 1SG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Housing Leeds Wortley,53.79608453,-1.616153922,36 Heights Drive,Wortley,,Leeds,West Yorkshire,LS12 3SU,GB,Active,SingleSpot,,No Restrictions,WPA2,1
